,week,weekly_interest,symbol,open,adj_close
0,2020-07-05,40,FOX,26.940001,24.860155
1,2020-07-12,44,FOX,25.379999,24.732868
2,2020-07-19,44,FOX,25.08,25.937201
3,2020-07-26,46,FOX,26.379999,25.232225
4,2020-08-02,45,FOX,25.870001,24.37059
5,2020-08-09,47,FOX,24.9,25.281183
6,2020-08-16,41,FOX,25.93,25.467216
7,2020-08-23,47,FOX,25.99,27.337358
8,2020-08-30,39,FOX,27.9,27.180698
9,2020-09-06,39,FOX,27.59,27.782623
10,2020-09-13,100,FOX,28.42,27.644402
11,2020-09-20,38,FOX,27.59,26.439896
12,2020-09-27,64,FOX,27.35,27.812243
13,2020-10-04,47,FOX,28.42,28.829163
14,2020-10-11,44,FOX,29.43,26.775579
15,2020-10-18,44,FOX,27.190001,26.592926
16,2020-10-25,44,FOX,26.700001,25.808023
17,2020-11-01,76,FOX,26.440001,25.279818
18,2020-11-08,58,FOX,26.700001,25.877132
19,2020-11-15,47,FOX,26.549999,27.091515
20,2020-11-22,36,FOX,27.459999,28.365129
21,2020-11-29,38,FOX,28.52,28.883463
22,2020-12-06,35,FOX,29.01,28.355257
23,2020-12-13,37,FOX,29.09,27.437069
24,2020-12-20,36,FOX,27.469999,27.644402
25,2020-12-27,37,FOX,28.129999,28.513226
26,2021-01-03,63,FOX,29.01,29.243828
27,2021-01-10,52,FOX,29.34,30.004049
28,2021-01-17,50,FOX,30.370001,28.799543
29,2021-01-24,47,FOX,29.18,29.510399
30,2021-01-31,47,FOX,29.860001,29.925064
31,2021-02-07,46,FOX,30.549999,31.050587
32,2021-02-14,46,FOX,31.51,31.9589
33,2021-02-21,46,FOX,32.279999,31.524492
34,2021-02-28,45,FOX,32.18,38.544193
35,2021-03-07,44,FOX,38.82,39.492001
36,2021-03-14,41,FOX,40.349998,40.067833
37,2021-03-21,45,FOX,40.605,35.917061
38,2021-03-28,45,FOX,36.25,34.755245
39,2021-04-04,30,FOX,35.349998,35.827694
40,2021-04-11,41,FOX,36.5,36.463219
41,2021-04-18,39,FOX,36.59,37.07888
42,2021-04-25,43,FOX,37.369999,36.125595
43,2021-05-02,44,FOX,36.630001,36.910069
44,2021-05-09,43,FOX,37.259998,36.016365
45,2021-05-16,45,FOX,36.630001,36.125595
46,2021-05-23,38,FOX,36.380001,36.026295
47,2021-05-30,33,FOX,36.599998,35.420559
48,2021-06-06,43,FOX,35.68,35.946854
49,2021-06-13,40,FOX,36.25,35.529789
50,2021-06-20,38,FOX,36.009998,36.135525
51,2021-06-27,37,FOX,36.549999,34.953846
52,2020-07-05,18,FLT,255.679993,253.009995
53,2020-07-12,10,FLT,255.360001,259.070007
54,2020-07-19,24,FLT,258.109985,258.079987
55,2020-07-26,12,FLT,258.769989,258.570007
56,2020-08-02,16,FLT,258.649994,240.610001
57,2020-08-09,16,FLT,239.449997,240.279999
58,2020-08-16,10,FLT,241.470001,238.669998
59,2020-08-23,14,FLT,240.839996,255.0
60,2020-08-30,10,FLT,255.639999,238.039993
61,2020-09-06,12,FLT,232.529999,231.0
62,2020-09-13,10,FLT,234.110001,241.860001
63,2020-09-20,13,FLT,233.860001,236.910004
64,2020-09-27,16,FLT,240.830002,234.460007
65,2020-10-04,14,FLT,236.630005,247.110001
66,2020-10-11,15,FLT,249.279999,249.589996
67,2020-10-18,6,FLT,251.130005,259.200012
68,2020-10-25,21,FLT,255.350006,220.910004
69,2020-11-01,23,FLT,224.360001,232.110001
70,2020-11-08,21,FLT,248.75,260.299988
71,2020-11-15,14,FLT,266.0,253.929993
72,2020-11-22,37,FLT,255.0,267.600006
73,2020-11-29,43,FLT,267.140015,268.049988
74,2020-12-06,23,FLT,267.059998,273.679993
75,2020-12-13,17,FLT,276.640015,279.470001
76,2020-12-20,27,FLT,275.130005,270.48999
77,2020-12-27,9,FLT,273.480011,272.829987
78,2021-01-03,27,FLT,272.730011,275.839996
79,2021-01-10,33,FLT,273.0,265.230011
80,2021-01-17,38,FLT,266.869995,267.410004
81,2021-01-24,37,FLT,265.230011,242.75
82,2021-01-31,72,FLT,244.970001,257.359985
83,2021-02-07,100,FLT,256.609985,264.299988
84,2021-02-14,46,FLT,264.869995,273.380005
85,2021-02-21,61,FLT,271.440002,277.309998
86,2021-02-28,43,FLT,281.700012,282.309998
87,2021-03-07,56,FLT,285.200012,283.859985
88,2021-03-14,29,FLT,283.149994,280.970001
89,2021-03-21,37,FLT,281.029999,278.459991
90,2021-03-28,24,FLT,276.519989,279.5
91,2021-04-04,21,FLT,282.070007,286.420013
92,2021-04-11,27,FLT,286.679993,291.459991
93,2021-04-18,33,FLT,291.579987,291.369995
94,2021-04-25,18,FLT,291.369995,287.720001
95,2021-05-02,23,FLT,289.76001,285.660004
96,2021-05-09,27,FLT,285.880005,272.929993
97,2021-05-16,18,FLT,271.609985,271.730011
98,2021-05-23,15,FLT,273.579987,274.440002
99,2021-05-30,11,FLT,277.170013,277.0
100,2021-06-06,15,FLT,276.769989,271.880005
101,2021-06-13,8,FLT,271.850006,260.0
102,2021-06-20,8,FLT,261.100006,262.339996
103,2021-06-27,19,FLT,262.98999,256.059998
104,2020-07-05,86,MO,39.75,36.696228
105,2020-07-12,100,MO,40.130001,37.853523
106,2020-07-19,90,MO,41.5,38.136009
107,2020-07-26,93,MO,42.0,37.498138
108,2020-08-02,100,MO,41.110001,38.427612
109,2020-08-09,90,MO,42.259998,38.764774
110,2020-08-16,93,MO,42.68,39.603127
111,2020-08-23,87,MO,43.580002,40.031425
112,2020-08-30,87,MO,43.880001,39.63047
113,2020-09-06,89,MO,43.700001,39.721596
114,2020-09-13,89,MO,42.900002,36.30439
115,2020-09-20,77,MO,39.68,35.575603
116,2020-09-27,79,MO,38.470001,36.226322
117,2020-10-04,83,MO,39.169998,37.825218
118,2020-10-11,79,MO,40.650002,36.746887
119,2020-10-18,81,MO,39.560001,36.328575
120,2020-10-25,86,MO,38.880001,33.539791
121,2020-11-01,77,MO,36.490002,34.646008
122,2020-11-08,81,MO,38.740002,37.490566
123,2020-11-15,80,MO,40.810001,37.128025
124,2020-11-22,65,MO,40.0,37.527752
125,2020-11-29,81,MO,40.25,38.457344
126,2020-12-06,84,MO,41.490002,39.972588
127,2020-12-13,84,MO,43.360001,40.69767
128,2020-12-20,68,MO,43.110001,38.782707
129,2020-12-27,69,MO,41.889999,38.893627
130,2021-01-03,93,MO,41.080002,39.453316
131,2021-01-10,98,MO,41.669998,39.083351
132,2021-01-17,79,MO,41.380001,39.680988
133,2021-01-24,85,MO,41.77,38.969521
134,2021-01-31,83,MO,41.080002,40.288105
135,2021-02-07,87,MO,42.549999,41.17033
136,2021-02-14,91,MO,43.310001,41.549778
137,2021-02-21,94,MO,43.740002,41.360054
138,2021-02-28,93,MO,44.150002,42.80196
139,2021-03-07,92,MO,45.450001,46.150612
140,2021-03-14,90,MO,49.07,47.952995
141,2021-03-21,100,MO,50.450001,49.802814
142,2021-03-28,86,MO,51.990002,49.217876
143,2021-04-04,90,MO,51.369999,49.690758
144,2021-04-11,84,MO,51.720001,50.482101
145,2021-04-18,100,MO,52.310001,45.734024
146,2021-04-25,85,MO,47.349998,46.081444
147,2021-05-02,91,MO,48.07,48.204567
148,2021-05-09,93,MO,50.200001,48.523033
149,2021-05-16,92,MO,50.25,48.252823
150,2021-05-23,86,MO,50.119999,47.50008
151,2021-05-30,85,MO,49.580002,48.030861
152,2021-06-06,90,MO,50.0,48.021206
153,2021-06-13,84,MO,48.810001,44.691765
154,2021-06-20,88,MO,46.75,46.76421
155,2021-06-27,91,MO,47.669998,46.823132
156,2020-07-05,0,CTRA,18.0,16.448759
157,2020-07-12,0,CTRA,17.540001,16.766521
158,2020-07-19,0,CTRA,17.940001,17.794571
159,2020-07-26,17,CTRA,18.889999,17.47681
160,2020-08-02,0,CTRA,18.93,19.243179
161,2020-08-09,0,CTRA,20.67,18.729156
162,2020-08-16,16,CTRA,20.08,18.336105
163,2020-08-23,0,CTRA,19.530001,17.800676
164,2020-08-30,16,CTRA,18.85,17.218279
165,2020-09-06,0,CTRA,18.049999,17.133738
166,2020-09-13,0,CTRA,18.34,18.213989
167,2020-09-20,16,CTRA,19.190001,17.021017
168,2020-09-27,16,CTRA,18.24,15.978336
169,2020-10-04,0,CTRA,17.200001,17.781887
170,2020-10-11,0,CTRA,18.9,17.941578
171,2020-10-18,17,CTRA,19.219999,18.486401
172,2020-10-25,0,CTRA,19.85,16.711031
173,2020-11-01,0,CTRA,17.99,15.442908
174,2020-11-08,0,CTRA,17.23,16.551342
175,2020-11-15,17,CTRA,17.59,16.131584
176,2020-11-22,16,CTRA,17.16,16.793102
177,2020-11-29,33,CTRA,17.74,15.536219
178,2020-12-06,100,CTRA,16.08,16.065434
179,2020-12-13,17,CTRA,17.24,16.037083
180,2020-12-20,0,CTRA,16.629999,16.00873
181,2020-12-27,0,CTRA,16.66,15.385015
182,2021-01-03,0,CTRA,16.49,16.320589
183,2021-01-10,0,CTRA,16.99,18.021635
184,2021-01-17,0,CTRA,18.98,17.520773
185,2021-01-24,0,CTRA,18.65,17.415899
186,2021-01-31,0,CTRA,18.75,16.684298
187,2021-02-07,0,CTRA,17.68,17.320889
188,2021-02-14,17,CTRA,18.620001,17.63443
189,2021-02-21,0,CTRA,18.59,17.586926
190,2021-02-28,50,CTRA,18.65,18.023985
191,2021-03-07,17,CTRA,19.23,17.862461
192,2021-03-14,16,CTRA,18.799999,17.149862
193,2021-03-21,0,CTRA,17.809999,18.223513
194,2021-03-28,0,CTRA,19.1,18.138
195,2021-04-04,0,CTRA,18.870001,16.513275
196,2021-04-11,0,CTRA,17.549999,15.734167
197,2021-04-18,17,CTRA,16.540001,15.316112
198,2021-04-25,0,CTRA,16.120001,15.838684
199,2021-05-02,17,CTRA,16.809999,16.522778
200,2021-05-09,0,CTRA,17.620001,16.883827
201,2021-05-16,0,CTRA,17.889999,17.029428
202,2021-05-23,17,CTRA,17.33,15.681226
203,2021-05-30,0,CTRA,16.65,16.187998
204,2021-06-06,0,CTRA,16.879999,16.522657
205,2021-06-13,0,CTRA,17.32,14.658121
206,2021-06-20,0,CTRA,15.34,16.082817
207,2021-06-27,0,CTRA,16.83,16.694767
208,2020-07-05,26,ENPH,49.700001,55.43
209,2020-07-12,19,ENPH,56.25,59.310001
210,2020-07-19,23,ENPH,59.900002,59.650002
211,2020-07-26,50,ENPH,61.009998,60.360001
212,2020-08-02,77,ENPH,60.889999,72.839996
213,2020-08-09,34,ENPH,72.800003,73.160004
214,2020-08-16,42,ENPH,74.339996,73.139999
215,2020-08-23,26,ENPH,73.790001,76.040001
216,2020-08-30,55,ENPH,76.68,66.160004
